office_no,municipality,corporation_name,office_name,wam_office_url,homepage_url,homepage_source,homepage_confidence,instagram_url,instagram_source,instagram_confidence,search_query,search_checked_at
1,大阪市,はづき福祉会,ワークはづき,https://www.work-haduki.com,https://www.work-haduki.com,wam_url,high,,,,"""ワークはづき"" ""大阪市"" はづき福祉会 就労継続支援B型 Instagram",2026-03-12T16:12:55
10,大阪市,大阪市手をつなぐ育成会,港第二育成園,https://www.city-osaka-ikuseikai.or.jp/minato2,https://www.city-osaka-ikuseikai.or.jp/minato2,wam_url,high,,,,"""港第二育成園"" ""大阪市"" 大阪市手をつなぐ育成会 就労継続支援B型 Instagram",2026-03-12T16:12:55
100,大阪市,Meiアシスト株式会社,就労継続支援B型事業所HARENOHIWORKS,,,,,,,,"""就労継続支援B型事業所HARENOHIWORKS"" ""大阪市"" Meiアシスト 就労継続支援B型 Instagram",2026-03-12T16:12:55
101,大阪市,AsFine株式会社,AsFineアジャスト森ノ宮オフィス,,,,,,,,"""AsFineアジャスト森ノ宮オフィス"" ""大阪市"" AsFine 就労継続支援B型 Instagram",2026-03-12T16:12:55
102,大阪市,株式会社one-with,one-with　plant,,,,,,,,"""one-with　plant"" ""大阪市"" one-with 就労継続支援B型 Instagram",2026-03-12T16:12:55
103,大阪市,株式会社Mt.West,あいるワークさぽーと,,,,,,,,"""あいるワークさぽーと"" ""大阪市"" Mt.West 就労継続支援B型 Instagram",2026-03-12T16:12:55
104,大阪市,株式会社ワークロード,ワーロード新深江,,,,,,,,"""ワーロード新深江"" ""大阪市"" ワークロード 就労継続支援B型 Instagram",2026-03-12T16:12:55
105,大阪市,タカラモンテ株式会社,陽のあたる場所,,,,,,,,"""陽のあたる場所"" ""大阪市"" タカラモンテ 就労継続支援B型 Instagram",2026-03-12T16:12:55
106,大阪市,合同会社　杜の雫,杜の雫,,,,,,,,"""杜の雫"" ""大阪市"" 杜の雫 就労継続支援B型 Instagram",2026-03-12T16:12:55
107,大阪市,合同会社森の宮,サポートセンターもりのみや,,,,,,,,"""サポートセンターもりのみや"" ""大阪市"" 森の宮 就労継続支援B型 Instagram",2026-03-12T16:12:55
108,大阪市,株式会社 フェニックス,グリーンピース,,,,,,,,"""グリーンピース"" ""大阪市"" フェニックス 就労継続支援B型 Instagram",2026-03-12T16:12:55
109,大阪市,合同会社ユー,ユー,,,,,,,,"""ユー"" ""大阪市"" ユー 就労継続支援B型 Instagram",2026-03-12T16:12:55
11,大阪市,特定非営利活動法人ナポレオンフィッシュ,ナポレオンフィッシュ,http://napoleonfish.jp,http://napoleonfish.jp,wam_url,high,,,,"""ナポレオンフィッシュ"" ""大阪市"" ナポレオンフィッシュ 就労継続支援B型 Instagram",2026-03-12T16:12:55
110,大阪市,社会福祉法人みらい楽舎,JOIN（じょいん）,http://www.eonet.ne.jp/~kanairou,http://www.eonet.ne.jp/~kanairou,wam_url,high,,,,"""JOIN（じょいん）"" ""大阪市"" みらい楽舎 就労継続支援B型 Instagram",2026-03-12T16:12:55
111,大阪市,ＮＰＯ法人ヘレンケラー自立支援センターすまいる,ＮＰＯ法人ヘレンケラー自立支援センターすまいる,,,,,,,,"""ＮＰＯ法人ヘレンケラー自立支援センターすまいる"" ""大阪市"" ＮＰＯ法人ヘレンケラー自立支援センターすまいる 就労継続支援B型 Instagram",2026-03-12T16:12:55
112,大阪市,"特定非営利活動法人
精神障害者支援の会ヒット",むつみ工房,,,,,,,,"""むつみ工房"" ""大阪市"" 精神障害者支援の会ヒット 就労継続支援B型 Instagram",2026-03-12T16:12:55
113,大阪市,大阪市障害者福祉・スポーツ協会,ワークセンター中授,http://chuuju.chuuju.sub.jp,http://chuuju.chuuju.sub.jp,wam_url,high,,,,"""ワークセンター中授"" ""大阪市"" 大阪市障害者福祉・スポーツ協会 就労継続支援B型 Instagram",2026-03-12T16:12:55
114,大阪市,"特定非営利活動法人
精神障害者支援の会ヒット",あしすと,,,,,,,,"""あしすと"" ""大阪市"" 精神障害者支援の会ヒット 就労継続支援B型 Instagram",2026-03-12T16:12:55
115,大阪市,一般社団法人Me2,支援センターish,https://www.me2-ish.com,https://www.me2-ish.com,wam_url,high,,,,"""支援センターish"" ""大阪市"" Me2 就労継続支援B型 Instagram",2026-03-12T16:12:55
116,大阪市,株式会社ヒロコウチ,リボーン天王寺,http://hiroholdings.com,http://hiroholdings.com,wam_url,high,,,,"""リボーン天王寺"" ""大阪市"" ヒロコウチ 就労継続支援B型 Instagram",2026-03-12T16:12:55
117,大阪市,株式会社大阪ヒューマンネット,ヒューマンネット上本町センター,http://human-osaka.net,http://human-osaka.net,wam_url,high,,,,"""ヒューマンネット上本町センター"" ""大阪市"" 大阪ヒューマンネット 就労継続支援B型 Instagram",2026-03-12T16:12:55
118,大阪市,株式会社楽座,就労支援事業所ark,http://ark-syuurou.com,http://ark-syuurou.com,wam_url,high,,,,"""就労支援事業所ark"" ""大阪市"" 楽座 就労継続支援B型 Instagram",2026-03-12T16:12:55
119,大阪市,株式会社Nine,障がい福祉サポートネットClan　Nine 真法院,,,,,,,,"""障がい福祉サポートネットClan　Nine 真法院"" ""大阪市"" Nine 就労継続支援B型 Instagram",2026-03-12T16:12:55
12,大阪市,特定非営利活動法人ふらっと,就労継続支援Ｂ型ふらっと,,,,,,,,"""就労継続支援Ｂ型ふらっと"" ""大阪市"" ふらっと 就労継続支援B型 Instagram",2026-03-12T16:12:55
120,大阪市,株式会社ワンダーフレンズ,ワンダーフレンズ天王寺,https://wonderf.jp,https://wonderf.jp,wam_url,high,,,,"""ワンダーフレンズ天王寺"" ""大阪市"" ワンダーフレンズ 就労継続支援B型 Instagram",2026-03-12T16:12:55
121,大阪市,合同会社アルファプラス,アルファプラス天王寺,https://alphaplus-tennoji.com/index.html,https://alphaplus-tennoji.com/index.html,wam_url,high,,,,"""アルファプラス天王寺"" ""大阪市"" アルファプラス 就労継続支援B型 Instagram",2026-03-12T16:12:55
122,大阪市,合同会社ON,就労支援事業所あすな,https://snabi.jp/facility/22889,,,,,,,"""就労支援事業所あすな"" ""大阪市"" ON 就労継続支援B型 Instagram",2026-03-12T16:12:55
123,大阪市,一般社団法人ウリエル,ファミーユ・ウリエル,https://famille-uriel.com,https://famille-uriel.com,wam_url,high,,,,"""ファミーユ・ウリエル"" ""大阪市"" ウリエル 就労継続支援B型 Instagram",2026-03-12T16:12:55
124,大阪市,株式会社　ＡＬＬ　ＡＳＩＡ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ,office BLooM,,,,,,,,"""office BLooM"" ""大阪市"" ＡＬＬ　ＡＳＩＡ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ 就労継続支援B型 Instagram",2026-03-12T16:12:55
125,大阪市,株式会社シーアイ・パートナーズ,TECTEC CREATIVE天王寺,,,,,,,,"""TECTEC CREATIVE天王寺"" ""大阪市"" シーアイ・パートナーズ 就労継続支援B型 Instagram",2026-03-12T16:12:55
126,大阪市,株式会社イーマ,Ｌｉｆｅ谷九,https://tani9.life,https://tani9.life,wam_url,high,,,,"""Ｌｉｆｅ谷九"" ""大阪市"" イーマ 就労継続支援B型 Instagram",2026-03-12T16:12:55
127,大阪市,人財クリエイション株式会社,ハートフェルト・フローラル・プロジェクト寺田町,https://teradacho.hffp-b.com,https://teradacho.hffp-b.com,wam_url,high,,,,"""ハートフェルト・フローラル・プロジェクト寺田町"" ""大阪市"" 人財クリエイション 就労継続支援B型 Instagram",2026-03-12T16:12:55
128,大阪市,医療法人中道会,医療法人中道会　ワークステーションホープ,,,,,,,,"""医療法人中道会　ワークステーションホープ"" ""大阪市"" 中道会 就労継続支援B型 Instagram",2026-03-12T16:12:55
129,大阪市,株式会社シクロ,BOOKSTACKてんのうじ,,,,,,,,"""BOOKSTACKてんのうじ"" ""大阪市"" シクロ 就労継続支援B型 Instagram",2026-03-12T16:12:55
13,大阪市,株式会社絆,きずなワークス,,,,,,,,"""きずなワークス"" ""大阪市"" 絆 就労継続支援B型 Instagram",2026-03-12T16:12:55
130,大阪市,株式会社ピースフル,ピースフル,,,,,,,,"""ピースフル"" ""大阪市"" ピースフル 就労継続支援B型 Instagram",2026-03-12T16:12:55
131,大阪市,合同会社ハーティ,松下福祉サポート,,,,,,,,"""松下福祉サポート"" ""大阪市"" ハーティ 就労継続支援B型 Instagram",2026-03-12T16:12:55
132,大阪市,合同会社アルファセブン,アルファセブン,,,,,,,,"""アルファセブン"" ""大阪市"" アルファセブン 就労継続支援B型 Instagram",2026-03-12T16:12:55
133,大阪市,株式会社リブウェルヤマザキ,大阪デジタルキャリア天王寺駅前オフィス,https://osaka-digital-career.jp,https://osaka-digital-career.jp,wam_url,high,,,,"""大阪デジタルキャリア天王寺駅前オフィス"" ""大阪市"" リブウェルヤマザキ 就労継続支援B型 Instagram",2026-03-12T16:12:55
134,大阪市,株式会社五大,アトラス生國魂,,,,,,,,"""アトラス生國魂"" ""大阪市"" 五大 就労継続支援B型 Instagram",2026-03-12T16:12:55
135,大阪市,合同会社カルミア,プリムラ,,,,,,,,"""プリムラ"" ""大阪市"" カルミア 就労継続支援B型 Instagram",2026-03-12T16:12:55
136,大阪市,株式会社木村ケアサポート,優心,,,,,,,,"""優心"" ""大阪市"" 木村ケアサポート 就労継続支援B型 Instagram",2026-03-12T16:12:55
137,大阪市,ＮＰＯ法人ＣａｆｅＭＩＬＬＯ,HandicappedcommunityＣａｆｅＭＩＬＬＯ,,,,,,,,"""HandicappedcommunityＣａｆｅＭＩＬＬＯ"" ""大阪市"" ＮＰＯ法人ＣａｆｅＭＩＬＬＯ 就労継続支援B型 Instagram",2026-03-12T16:12:55
138,大阪市,シュクレサレ,ボンセジュール,http://silyukuresare.com,http://silyukuresare.com,wam_url,high,,,,"""ボンセジュール"" ""大阪市"" シュクレサレ 就労継続支援B型 Instagram",2026-03-12T16:12:55
139,大阪市,株式会社セフニア,セフニアワーク 煉瓦,https://www.sefnir-care.com,https://www.sefnir-care.com,wam_url,high,,,,"""セフニアワーク 煉瓦"" ""大阪市"" セフニア 就労継続支援B型 Instagram",2026-03-12T16:12:55
14,大阪市,合同会社アクトノミー,アクトノミー,,,,,,,,"""アクトノミー"" ""大阪市"" アクトノミー 就労継続支援B型 Instagram",2026-03-12T16:12:55
140,大阪市,株式会社すこーぽ,ぽんて ぽんて,https://sazawa1scopo.wix.com/ponteponte,https://sazawa1scopo.wix.com/ponteponte,wam_url,high,,,,"""ぽんて ぽんて"" ""大阪市"" すこーぽ 就労継続支援B型 Instagram",2026-03-12T16:12:55
141,大阪市,一般社団法人ダイアロゴス,ポリフォニー,https://polyphony.dialogs.jp,https://polyphony.dialogs.jp,wam_url,high,,,,"""ポリフォニー"" ""大阪市"" ダイアロゴス 就労継続支援B型 Instagram",2026-03-12T16:12:55
142,大阪市,合同会社あたらし,てくにかるさぽーとあたらし,,,,,,,,"""てくにかるさぽーとあたらし"" ""大阪市"" あたらし 就労継続支援B型 Instagram",2026-03-12T16:12:55
143,大阪市,株式会社坂東商店,ビーアンドワークス,https://www.b-andworks-shienb.com,https://www.b-andworks-shienb.com,wam_url,high,,,,"""ビーアンドワークス"" ""大阪市"" 坂東商店 就労継続支援B型 Instagram",2026-03-12T16:12:55
144,大阪市,株式会社フライングポニー,フライングポニー,https://flying-pony.com,https://flying-pony.com,wam_url,high,,,,"""フライングポニー"" ""大阪市"" フライングポニー 就労継続支援B型 Instagram",2026-03-12T16:12:55
145,大阪市,合同会社Fun Home,ファンライフ,,,,,,,,"""ファンライフ"" ""大阪市"" Fun Home 就労継続支援B型 Instagram",2026-03-12T16:12:55
146,大阪市,株式会社テクリオ,ロジックラボ,https://tecrio.co.jp,https://tecrio.co.jp,wam_url,high,,,,"""ロジックラボ"" ""大阪市"" テクリオ 就労継続支援B型 Instagram",2026-03-12T16:12:55
147,大阪市,一般社団法人ダイアロゴス,ギフテッドスタイル,https://gifted.dialogs.jp,https://gifted.dialogs.jp,wam_url,high,,,,"""ギフテッドスタイル"" ""大阪市"" ダイアロゴス 就労継続支援B型 Instagram",2026-03-12T16:12:55
148,大阪市,"大阪府大阪市平野区長吉長原東
３丁目２番３４号３０２号室",ウィステリア,,,,,,,,"""ウィステリア"" ""大阪市"" 大阪府大阪市平野区長吉長原東
３丁目２番３４号３０２号室 就労継続支援B型 Instagram",2026-03-12T16:12:55
149,大阪市,株式会社ラボアート,就労継続支援B型　ユメグミ,https://yume-gumi.jp,https://yume-gumi.jp,wam_url,high,,,,"""就労継続支援B型　ユメグミ"" ""大阪市"" ラボアート 就労継続支援B型 Instagram",2026-03-12T16:12:55
15,大阪市,株式会社フォレストブック,プログレス32就労継続支援B型,https://thirty-two.co.jp,https://thirty-two.co.jp,wam_url,high,,,,"""プログレス32就労継続支援B型"" ""大阪市"" フォレストブック 就労継続支援B型 Instagram",2026-03-12T16:12:55
150,大阪市,株式会社かたち,未来のかたち　四ツ橋校,,,,,,,,"""未来のかたち　四ツ橋校"" ""大阪市"" かたち 就労継続支援B型 Instagram",2026-03-12T16:12:55
151,大阪市,株式会社ミセスロザリー,結,https://mrs-rosalie.com/musubi,https://mrs-rosalie.com/musubi,wam_url,high,,,,"""結"" ""大阪市"" ミセスロザリー 就労継続支援B型 Instagram",2026-03-12T16:12:55
152,大阪市,一般社団法人Dolbom,ドルボム,,,,,,,,"""ドルボム"" ""大阪市"" Dolbom 就労継続支援B型 Instagram",2026-03-12T16:12:55
153,大阪市,合同会社アイキャン,アイキャン,http://ainikizuna.com,http://ainikizuna.com,wam_url,high,,,,"""アイキャン"" ""大阪市"" アイキャン 就労継続支援B型 Instagram",2026-03-12T16:12:55
154,大阪市,合同会社月の雫,ワークステーション本町,,,,,,,,"""ワークステーション本町"" ""大阪市"" 月の雫 就労継続支援B型 Instagram",2026-03-12T16:12:55
155,大阪市,AsFine株式会社,アスファインアジャスト本町オフィス,https://adjust.asfine.co.jp,https://adjust.asfine.co.jp,wam_url,high,,,,"""アスファインアジャスト本町オフィス"" ""大阪市"" AsFine 就労継続支援B型 Instagram",2026-03-12T16:12:55
156,大阪市,一般社団法人ファーストステップ,ABILITY,,,,,,,,"""ABILITY"" ""大阪市"" ファーストステップ 就労継続支援B型 Instagram",2026-03-12T16:12:55
157,大阪市,ライフサポート協会,障がい者活動センター　オガリ作業所,http://lifesupport.or.jp/shougai/otona/shougai_tsuusho/shuurou_b/riyou_guide_ogari.html,http://lifesupport.or.jp/shougai/otona/shougai_tsuusho/shuurou_b/riyou_guide_ogari.html,wam_url,high,,,,"""障がい者活動センター　オガリ作業所"" ""大阪市"" ライフサポート協会 就労継続支援B型 Instagram",2026-03-12T16:12:55
158,大阪市,ライフサポート協会,住吉総合福祉センター障がい通所事業部,,,,,,,,"""住吉総合福祉センター障がい通所事業部"" ""大阪市"" ライフサポート協会 就労継続支援B型 Instagram",2026-03-12T16:12:55
159,大阪市,NPO法人WING,多機能型すみえ,http://wing-npo.com,http://wing-npo.com,wam_url,high,,,,"""多機能型すみえ"" ""大阪市"" NPO法人WING 就労継続支援B型 Instagram",2026-03-12T16:12:55
16,大阪市,株式会社AlmonA,アルモナ事業所,,,,,,,,"""アルモナ事業所"" ""大阪市"" AlmonA 就労継続支援B型 Instagram",2026-03-12T16:12:55
160,大阪市,社会福祉法人大阪市障害者福祉・スポーツ協会,ワークセンター粉浜,https://www.fukspo.org/kohama,https://www.fukspo.org/kohama,wam_url,high,,,,"""ワークセンター粉浜"" ""大阪市"" 大阪市障害者福祉・スポーツ協会 就労継続支援B型 Instagram",2026-03-12T16:12:55
161,大阪市,"特定非営利活動法人
あびこ障がい者福祉共同作業所",あびこ障がい者福祉共同作業所,,,,,,,,"""あびこ障がい者福祉共同作業所"" ""大阪市"" あびこ障がい者福祉共同作業所 就労継続支援B型 Instagram",2026-03-12T16:12:55
162,大阪市,あさか会,はぁとらんど浅香,http://www.asakakai.com/heartlandasaka.html,http://www.asakakai.com/heartlandasaka.html,wam_url,high,,,,"""はぁとらんど浅香"" ""大阪市"" あさか会 就労継続支援B型 Instagram",2026-03-12T16:12:55
163,大阪市,株式会社　AJ,オリーブ就労継続支援B型事業所,,,,,,,,"""オリーブ就労継続支援B型事業所"" ""大阪市"" AJ 就労継続支援B型 Instagram",2026-03-12T16:12:55
164,大阪市,合同会社　輝,かがやき,,,,,,,,"""かがやき"" ""大阪市"" 輝 就労継続支援B型 Instagram",2026-03-12T16:12:55
165,大阪市,ナチュール合同会社,Relaif,https://www.relaif-space.com,https://www.relaif-space.com,wam_url,high,,,,"""Relaif"" ""大阪市"" ナチュール 就労継続支援B型 Instagram",2026-03-12T16:12:55
166,大阪市,株式会社　KOSEI,ワークショップkosei,https://www.ws-kosei.com,https://www.ws-kosei.com,wam_url,high,,,,"""ワークショップkosei"" ""大阪市"" KOSEI 就労継続支援B型 Instagram",2026-03-12T16:12:55
167,大阪市,合同会社SANASE,Abo・KANOA,,,,,,,,"""Abo・KANOA"" ""大阪市"" SANASE 就労継続支援B型 Instagram",2026-03-12T16:12:55
168,大阪市,株式会社ノブカントリー,ノブカン長居,http://novcountry.sakura.ne.jp,http://novcountry.sakura.ne.jp,wam_url,high,,,,"""ノブカン長居"" ""大阪市"" ノブカントリー 就労継続支援B型 Instagram",2026-03-12T16:12:55
169,大阪市,特定非営利活動法人いちごの会,リカバリハウスいちご長居,https://ichigonokai.jp,https://ichigonokai.jp,wam_url,high,,,,"""リカバリハウスいちご長居"" ""大阪市"" いちごの会 就労継続支援B型 Instagram",2026-03-12T16:12:55
17,大阪市,特定非営利活動法人いちごの会,リカバリハウスいちご,http://ichigonokai.jp,http://ichigonokai.jp,wam_url,high,,,,"""リカバリハウスいちご"" ""大阪市"" いちごの会 就労継続支援B型 Instagram",2026-03-12T16:12:55
170,大阪市,株式会社シマザキ,ステラあびこ,,,,,,,,"""ステラあびこ"" ""大阪市"" シマザキ 就労継続支援B型 Instagram",2026-03-12T16:12:55
171,大阪市,株式会社CNC,CNC Job's,,,,,,,,"""CNC Job's"" ""大阪市"" CNC 就労継続支援B型 Instagram",2026-03-12T16:12:55
172,大阪市,合同会社stable,ぬくもり,,,,,,,,"""ぬくもり"" ""大阪市"" stable 就労継続支援B型 Instagram",2026-03-12T16:12:55
1725,大阪市,株式会社ナレルワークス,ナレルワークス,https://narelu-works.com,https://narelu-works.com,wam_url,high,,,,"""ナレルワークス"" ""大阪市"" ナレルワークス 就労継続支援B型 Instagram",2026-03-12T16:12:55
1726,大阪市,特定非営利活動法人　悠々会,ゆうゆう美波途,,,,,,,,"""ゆうゆう美波途"" ""大阪市"" 悠々会 就労継続支援B型 Instagram",2026-03-12T16:12:55
1727,大阪市,株式会社ライフサポート,わたぼうし,,,,,,,,"""わたぼうし"" ""大阪市"" ライフサポート 就労継続支援B型 Instagram",2026-03-12T16:12:55
1728,大阪市,株式会社ライフサポート,ワークスペース　サルビア,,,,,,,,"""ワークスペース　サルビア"" ""大阪市"" ライフサポート 就労継続支援B型 Instagram",2026-03-12T16:12:55
1729,大阪市,株式会社　アクセスＨ．Ｌ,ぽーとさくら通り,,,,,,,,"""ぽーとさくら通り"" ""大阪市"" アクセスＨ．Ｌ 就労継続支援B型 Instagram",2026-03-12T16:12:55
173,大阪市,合同会社わくわく堂,就労継続支援B型事業所ｗｏｒｋｗｏｒｋ,https://www.instagram.com/workwork.2021,,,,https://www.instagram.com/workwork.2021,wam_url,high,"""就労継続支援B型事業所ｗｏｒｋｗｏｒｋ"" ""大阪市"" わくわく堂 就労継続支援B型 Instagram",2026-03-12T16:12:55
1730,大阪市,合同会社ハル・ジャパン,Ｈａｒｕ,,,,,,,,"""Ｈａｒｕ"" ""大阪市"" ハル・ジャパン 就労継続支援B型 Instagram",2026-03-12T16:12:55
1731,大阪市,有限会社パルファン,Ｈａｒｕ２,,,,,,,,"""Ｈａｒｕ２"" ""大阪市"" 有限会社パルファン 就労継続支援B型 Instagram",2026-03-12T16:12:55
1732,大阪市,合同会社希,希作業所,,,,,,,,"""希作業所"" ""大阪市"" 希 就労継続支援B型 Instagram",2026-03-12T16:12:55
1733,大阪市,株式会社ホイミ,ホイミ堂針中野店,,,,,,,,"""ホイミ堂針中野店"" ""大阪市"" ホイミ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1734,大阪市,株式会社トリート,就労継続支援Ｂ型事業所わっくわく,,,,,,,,"""就労継続支援Ｂ型事業所わっくわく"" ""大阪市"" トリート 就労継続支援B型 Instagram",2026-03-12T16:12:55
1735,大阪市,ハートライン株式会社,ピースワーク,,,,,,,,"""ピースワーク"" ""大阪市"" ハートライン 就労継続支援B型 Instagram",2026-03-12T16:12:55
1736,大阪市,株式会社Ｇｒｏｕｐ－Ｓ,ジョブアップル,,,,,,,,"""ジョブアップル"" ""大阪市"" Ｇｒｏｕｐ－Ｓ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1737,大阪市,株式会社ＧＯＫＡＮケア,ＧＯＫＡＮケア,,,,,,,,"""ＧＯＫＡＮケア"" ""大阪市"" ＧＯＫＡＮケア 就労継続支援B型 Instagram",2026-03-12T16:12:55
1738,大阪市,株式会社Ｍ’ｓ　ｃｏｍｐａｎｙ,じぶんらしく,,,,,,,,"""じぶんらしく"" ""大阪市"" Ｍ’ｓ　ｃｏｍｐａｎｙ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1739,大阪市,合同会社フォレストウェル,就労継続支援Ｂ型事業所り～る,,,,,,,,"""就労継続支援Ｂ型事業所り～る"" ""大阪市"" フォレストウェル 就労継続支援B型 Instagram",2026-03-12T16:12:55
174,大阪市,玉井商事株式会社,チークプレイス住吉,https://teakcare.co.jp,https://teakcare.co.jp,wam_url,high,,,,"""チークプレイス住吉"" ""大阪市"" 玉井商事 就労継続支援B型 Instagram",2026-03-12T16:12:55
1740,大阪市,株式会社Ｇｒｏｕｐ－Ｓ,ジョブアップルⅣ,,,,,,,,"""ジョブアップルⅣ"" ""大阪市"" Ｇｒｏｕｐ－Ｓ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1741,大阪市,株式会社ＣＯＬＯＲ,Ｒｏｏｓｔｅｒ,,,,,,,,"""Ｒｏｏｓｔｅｒ"" ""大阪市"" ＣＯＬＯＲ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1742,大阪市,株式会社ひなた,就労継続支援事業所Ｂ型　ひなた,,,,,,,,"""就労継続支援事業所Ｂ型　ひなた"" ""大阪市"" ひなた 就労継続支援B型 Instagram",2026-03-12T16:12:55
1743,大阪市,有限会社　永价,佑宜,,,,,,,,"""佑宜"" ""大阪市"" 有限会社　永价 就労継続支援B型 Instagram",2026-03-12T16:12:55
1744,大阪市,株式会社ＡＳＨ,アルバ,,,,,,,,"""アルバ"" ""大阪市"" ＡＳＨ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1745,大阪市,特定非営利活動法人ジャム＆ハッピー,障がい者支援センター　きづき,,,,,,,,"""障がい者支援センター　きづき"" ""大阪市"" ジャム＆ハッピー 就労継続支援B型 Instagram",2026-03-12T16:12:55
1746,大阪市,株式会社フリーケア,フリーワーク西淀川,,,,,,,,"""フリーワーク西淀川"" ""大阪市"" フリーケア 就労継続支援B型 Instagram",2026-03-12T16:12:55
1747,大阪市,特定非営利活動法人　東成精神障害者を支える会サラダ倶楽部,サラダぼーる,https://salad-club.org/top.html,https://salad-club.org/top.html,wam_url,high,,,,"""サラダぼーる"" ""大阪市"" 東成精神障害者を支える会サラダ倶楽部 就労継続支援B型 Instagram",2026-03-12T16:12:55
1748,大阪市,特定非営利活動法人　東成精神障害者を支える会サラダ倶楽部,東成工房,https://salad-club.org/top.html,https://salad-club.org/top.html,wam_url,high,,,,"""東成工房"" ""大阪市"" 東成精神障害者を支える会サラダ倶楽部 就労継続支援B型 Instagram",2026-03-12T16:12:55
1749,大阪市,全国社会福祉会ＮＡＮＡＩＲＯ　ＦＡＲＭＳ株式会社,スペースＮＡＮＡＩＲＯ,,,,,,,,"""スペースＮＡＮＡＩＲＯ"" ""大阪市"" 全国社会福祉会ＮＡＮＡＩＲＯ　ＦＡＲＭＳ 就労継続支援B型 Instagram",2026-03-12T16:12:55
175,大阪市,株式会社かたち,ウィル事業所,,,,,,,,"""ウィル事業所"" ""大阪市"" かたち 就労継続支援B型 Instagram",2026-03-12T16:12:55
1750,大阪市,合同会社てくてく福祉会,てくてく　ぷらす,,,,,,,,"""てくてく　ぷらす"" ""大阪市"" てくてく福祉会 就労継続支援B型 Instagram",2026-03-12T16:12:55
1751,大阪市,合同会社河の雫,河の雫,,,,,,,,"""河の雫"" ""大阪市"" 河の雫 就労継続支援B型 Instagram",2026-03-12T16:12:55
1752,大阪市,株式会社まろん,かぼす,,,,,,,,"""かぼす"" ""大阪市"" まろん 就労継続支援B型 Instagram",2026-03-12T16:12:55
1753,大阪市,株式会社エーデル,就労継続支援ｂ型　エーデル　玉造,,,,,,,,"""就労継続支援ｂ型　エーデル　玉造"" ""大阪市"" エーデル 就労継続支援B型 Instagram",2026-03-12T16:12:55
1754,大阪市,合同会社障害者就労援護会,未来予想図,,,,,,,,"""未来予想図"" ""大阪市"" 障害者就労援護会 就労継続支援B型 Instagram",2026-03-12T16:12:55
1755,大阪市,株式会社ＭＹＲ,メタゲーム今里,,,,,,,,"""メタゲーム今里"" ""大阪市"" ＭＹＲ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1756,大阪市,合同会社ＲＯＺＡ,２４ＲＥＡＬ,,,,,,,,"""２４ＲＥＡＬ"" ""大阪市"" ＲＯＺＡ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1757,大阪市,株式会社ＪＯＥ,就労継続支援Ｂ型　あかね,,,,,,,,"""就労継続支援Ｂ型　あかね"" ""大阪市"" ＪＯＥ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1758,大阪市,株式会社ＵＰエンターテイメント,にじげん鶴橋,,,,,,,,"""にじげん鶴橋"" ""大阪市"" ＵＰエンターテイメント 就労継続支援B型 Instagram",2026-03-12T16:12:55
1759,大阪市,合同会社０６０７,カシム,,,,,,,,"""カシム"" ""大阪市"" ０６０７ 就労継続支援B型 Instagram",2026-03-12T16:12:55
176,大阪市,株式会社ワンダーフレンズ,ワンダーフレンズ長居,https://wonderf.jp,https://wonderf.jp,wam_url,high,,,,"""ワンダーフレンズ長居"" ""大阪市"" ワンダーフレンズ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1760,大阪市,一般社団法人アナザースカイ,アナザースカイ～Ａｎｏｔｈｅｒ　Ｓｋｙ～,,,,,,,,"""アナザースカイ～Ａｎｏｔｈｅｒ　Ｓｋｙ～"" ""大阪市"" アナザースカイ 就労継続支援B型 Instagram",2026-03-12T16:12:55
1761,大阪市,株式会社フォーチュンインターナショナル,フォーチュンエイド,https://www.fortune-aid.com,https://www.fortune-aid.com,wam_url,high,,,,"""フォーチュンエイド"" ""大阪市"" フォーチュンインターナショナル 就労継続支援B型 Instagram",2026-03-12T16:12:55
1762,大阪市,有限会社　クローバーホーム,障がい者就労支援センターにこにこ庵・天王寺,,,,,,,,"""障がい者就労支援センターにこにこ庵・天王寺"" ""大阪市"" 有限会社　クローバーホーム 就労継続支援B型 Instagram",2026-03-12T16:12:55
1763,大阪市,合同会社ゴールドプランニング,ホエール,,,,,,,,"""ホエール"" ""大阪市"" ゴールドプランニング 就労継続支援B型 Instagram",2026-03-12T16:12:55
1764,大阪市,一般社団法人社会福祉介護支援機構,未来共生,https://miraikyousei.com,https://miraikyousei.com,wam_url,high,,,,"""未来共生"" ""大阪市"" 社会福祉介護支援機構 就労継続支援B型 Instagram",2026-03-12T16:12:55
1765,大阪市,合同会社ＷＡＶＥ,就労支援事業所いろは,,,,,,,,"""就労支援事業所いろは"" ""大阪市"" ＷＡＶＥ 就労継続支援B型 Instagram",2026-03-12T16:12:55
