office_no,municipality,corporation_name,office_name,wam_office_url,homepage_url,homepage_source,homepage_confidence,instagram_url,instagram_source,instagram_confidence,search_query,search_checked_at
568,大阪市,北摂杉の子会,ジェイ・ブランチよど,http://www.suginokokai.com/facilities/yodo_branch.html,http://www.suginokokai.com/facilities/yodo_branch.html,wam_url,high,,,,"""ジェイ・ブランチよど"" ""大阪市"" 北摂杉の子会 就労継続支援B型 Instagram",2026-03-12T16:12:55
569,大阪市,株式会社again,就労支援事業所again,https://again-job.jimdofree.com,https://again-job.jimdofree.com,wam_url,high,,,,"""就労支援事業所again"" ""大阪市"" again 就労継続支援B型 Instagram",2026-03-12T16:12:55
57,大阪市,株式会社ミユキホーム,クリーンアップ,,,,,,,,"""クリーンアップ"" ""大阪市"" ミユキホーム 就労継続支援B型 Instagram",2026-03-12T16:12:55
570,大阪市,一般社団法人ＫＩＺＵＮＡ,Be Happy スタジオ,https://kizuna-behappy.or.jp,https://kizuna-behappy.or.jp,wam_url,high,,,,"""Be Happy スタジオ"" ""大阪市"" ＫＩＺＵＮＡ 就労継続支援B型 Instagram",2026-03-12T16:12:55
571,大阪市,一般社団法人Yourlife,Yourlife（ユアライフ）,https://yourlife.group,https://yourlife.group,wam_url,high,,,,"""Yourlife（ユアライフ）"" ""大阪市"" Yourlife 就労継続支援B型 Instagram",2026-03-12T16:12:55
572,大阪市,関西中央福祉会,PALETTE,,,,,,,,"""PALETTE"" ""大阪市"" 関西中央福祉会 就労継続支援B型 Instagram",2026-03-12T16:12:55
573,大阪市,株式会社EMS,Be Smile with,https://www.ems-osaka.co.jp,https://www.ems-osaka.co.jp,wam_url,high,,,,"""Be Smile with"" ""大阪市"" EMS 就労継続支援B型 Instagram",2026-03-12T16:12:55
574,大阪市,医療法人遊心会,アトリエ,,,,,,,,"""アトリエ"" ""大阪市"" 遊心会 就労継続支援B型 Instagram",2026-03-12T16:12:55
575,大阪市,株式会社シーシー,2ndぷれいす西淀川,http://2ndplace.net,http://2ndplace.net,wam_url,high,,,,"""2ndぷれいす西淀川"" ""大阪市"" シーシー 就労継続支援B型 Instagram",2026-03-12T16:12:55
576,大阪市,株式会社T.Creation,ラ・ルーナ,,,,,,,,"""ラ・ルーナ"" ""大阪市"" T.Creation 就労継続支援B型 Instagram",2026-03-12T16:12:55
577,大阪市,KH,せせらぎ,,,,,,,,"""せせらぎ"" ""大阪市"" KH 就労継続支援B型 Instagram",2026-03-12T16:12:55
578,大阪市,メディカル,あおいろ,,,,,,,,"""あおいろ"" ""大阪市"" メディカル 就労継続支援B型 Instagram",2026-03-12T16:12:55
579,大阪市,一般社団法人Yourlife,ユアキャリア,https://career.yourlife.group,https://career.yourlife.group,wam_url,high,,,,"""ユアキャリア"" ""大阪市"" Yourlife 就労継続支援B型 Instagram",2026-03-12T16:12:55
58,大阪市,株式会社フロムサポート,totalケア,,,,,,,,"""totalケア"" ""大阪市"" フロムサポート 就労継続支援B型 Instagram",2026-03-12T16:12:55
580,大阪市,株式会社こころさぽーと,こころさぽーと十三,https://cocoro-support.co.jp,https://cocoro-support.co.jp,wam_url,high,,,,"""こころさぽーと十三"" ""大阪市"" こころさぽーと 就労継続支援B型 Instagram",2026-03-12T16:12:55
581,大阪市,アミンカス合同会社,なのはな,,,,,,,,"""なのはな"" ""大阪市"" アミンカス 就労継続支援B型 Instagram",2026-03-12T16:12:55
582,大阪市,株式会社care　mint,La sea Q,,,,,,,,"""La sea Q"" ""大阪市"" care　mint 就労継続支援B型 Instagram",2026-03-12T16:12:55
583,大阪市,株式会社　ワンダーフレンズ,ワンダーフレンズ十三,https://wonderf.jp,https://wonderf.jp,wam_url,high,,,,"""ワンダーフレンズ十三"" ""大阪市"" ワンダーフレンズ 就労継続支援B型 Instagram",2026-03-12T16:12:55
584,大阪市,株式会社ANMR,就労継続支援B型事業所アルテ,,,,,,,,"""就労継続支援B型事業所アルテ"" ""大阪市"" ANMR 就労継続支援B型 Instagram",2026-03-12T16:12:55
585,大阪市,株式会社ラーカイラム,就労支援センターにこにこⅡ,,,,,,,,"""就労支援センターにこにこⅡ"" ""大阪市"" ラーカイラム 就労継続支援B型 Instagram",2026-03-12T16:12:55
586,大阪市,AsFiine株式会社,Asfineアジャスト新大阪オフィス,,,,,,,,"""Asfineアジャスト新大阪オフィス"" ""大阪市"" AsFiine 就労継続支援B型 Instagram",2026-03-12T16:12:55
587,大阪市,エクスホールディングス株式会社,メタゲーム西中島,https://metagame.support/topics-nishinakajima/nishinakajima-opening-schedule,https://metagame.support/topics-nishinakajima/nishinakajima-opening-schedule,wam_url,high,,,,"""メタゲーム西中島"" ""大阪市"" エクスホールディングス 就労継続支援B型 Instagram",2026-03-12T16:12:55
588,大阪市,"合同会社
ＣＲＥＡＴＩＶＥＯＦＦＩＣＥＴ２",就労継続支援B型事業所　西中島ベース,,,,,,,,"""就労継続支援B型事業所　西中島ベース"" ""大阪市"" ＣＲＥＡＴＩＶＥＯＦＦＩＣＥＴ２ 就労継続支援B型 Instagram",2026-03-12T16:12:55
589,大阪市,株式会社CONBRIDGE,smile bridge,https://www.combridge2025.com,https://www.combridge2025.com,wam_url,high,,,,"""smile bridge"" ""大阪市"" CONBRIDGE 就労継続支援B型 Instagram",2026-03-12T16:12:55
59,大阪市,株式会社ホイミ,ホイミ堂北田辺Second,,,,,,,,"""ホイミ堂北田辺Second"" ""大阪市"" ホイミ 就労継続支援B型 Instagram",2026-03-12T16:12:55
590,大阪市,ソレーユ,さらら作業所,https://sarara0101.jimdo.com,https://sarara0101.jimdo.com,wam_url,high,,,,"""さらら作業所"" ""大阪市"" ソレーユ 就労継続支援B型 Instagram",2026-03-12T16:12:55
591,大阪市,社会福祉法人椿福祉会,ワークセンターつるみの郷,http://tsubaki-fukushikai.com/workcenter,http://tsubaki-fukushikai.com/workcenter,wam_url,high,,,,"""ワークセンターつるみの郷"" ""大阪市"" 椿福祉会 就労継続支援B型 Instagram",2026-03-12T16:12:55
592,大阪市,特定非営利活動法人　感生,就労継続支援施設B型　感生,https://kansei-sudachi.com,https://kansei-sudachi.com,wam_url,high,,,,"""就労継続支援施設B型　感生"" ""大阪市"" 感生 就労継続支援B型 Instagram",2026-03-12T16:12:55
593,大阪市,ウイルワン,ワークプラザウイルワン,,,,,,,,"""ワークプラザウイルワン"" ""大阪市"" ウイルワン 就労継続支援B型 Instagram",2026-03-12T16:12:55
594,大阪市,合同会社オマージュ,就労継続支援事業所　らいく,,,,,,,,"""就労継続支援事業所　らいく"" ""大阪市"" オマージュ 就労継続支援B型 Instagram",2026-03-12T16:12:55
595,大阪市,株式会社　コア・クリスタル,マホロバ,,,,,,,,"""マホロバ"" ""大阪市"" コア・クリスタル 就労継続支援B型 Instagram",2026-03-12T16:12:55
